编号,网站名称,首页网址,列表页,注册资本,省份,市,区,主体,描述页,状态,设置完成,是否需手工添加,备注,利息管理费,利息管理费时段,利息管理费是否分段,电话,办公所在省,办公所在市,办公所在区,办公地址,注册地址,上线时间,倒闭时间,倒闭原因,更新频率,信用代码,房屋编码
3935,冠腾贷,http://www.guantengdai.com/,,1000,河北省,石家庄市,,河北冠腾投资咨询有限公司,,正常?,否?,否?,,,,,0311-69025118/6119?,,,,石家庄市槐安路与红旗大街交口紫金大厦306室?,,2015-05-21?,,,1小时?,,
3936,今金贷,http://www.91jinjindai.com/,,3100,甘肃省,兰州市,,甘肃金畅网络科技有限公司,,预警平台?,否?,否?,甘肃省兰州市城关区静宁路中海国际22楼 4000-422-999?,,,,,,,,,,2015-05-16?,2018-11-15?,立案侦査?,1小时?,,
3937,隆投贷,http://www.longtoubank.com/,,2000,山东省,济宁市,,山东隆投网络科技有限公司,,问题平台?,否?,否?,上线时间： 2015-05-16 山东省济宁市兖州区东御桥路54-4号?,,,,,,,,,,2015-05-16?,,,1小时?,,
3938,吉超贷,https://www.jichaodai.com/,,500,广东省,东莞市,,东莞市吉超投资管理有限公司,,问题平台?,否?,否?,,10%?,,,400-1155-987?,,,,东莞市长安镇沙头社区靖海西路46号?,东莞市长安镇沙头社区共荣路2号一楼103?,2015-05-17?,2015-09-07?,清盘?,1小时?,91441900334744026D?,
3939,蚂蚁打的,http://www.my3699.com/,,3003,河南省,郑州市,,河南银瑞金融服务有限公司,,正常?,否?,否?,2017-01-25停业 2017-08-14蚂蚁打的结清欠款 以及平台系统升级重新上线公告?,,,,400-007-5058?,,,,郑州市中州大道农业路苏荷中心2907?,郑州市金水区农业东路62号29层2907?,2015-05-30?,,,1小时?,914101003990410575?,
3940,财邦网,http://www.caibang888.com,,5000,北京市,北京市,,财邦金融信息服务（北京）有限公司,,问题平台?,否?,否?,北京市朝阳区京运盛通大厦 010-62888787 2015-10-13止?,,,,,,,,,,2015-05-24?,,,1小时?,,
3941,网金社,https://www.wjs.com,,5667,浙江省,杭州市,西湖区,浙江互联网金融资产交易中心股份有限公司,,正常?,否?,否?,要绑定支付宝 浙江省杭州市西湖区古荡街道西溪新座5栋801室 400-998-7676?,,,,400-998-7676 ?,,,,杭州市滨江区江南大道3588号恒生大厦B座6层?,浙江省杭州市西湖区古荡街道西溪新座5幢801室?,2015-06-24?,,,1小时?,91330106MA28XR9C7E?,
3942,鑫十贷,http://www.xsdai580.com/,,1000,广东省,广州市,天河区,广州鑫十贷网络科技有限公司,,警?,否?,否?,,,,,13632461555?,,,,广州市天河区黄村西华里横一巷3号406房?,广州市天河区黄村西华里横一巷3号406房?,2015-05-20?,,打不开?,1小时?,,
3943,卓鹏财富,http://www.zpcf.com,,1000,广东省,东莞市,,广东卓鹏贷网络信息服务有限公司,,问题平台?,否?,否?,广东省东莞市南城区胜和路华凯大厦10楼整层 40000-60000?,,,,,,,,,东莞市南城区华凯广场A栋首层106、107号?,2015-05-20?,2015-11-24?,嫌非法融资?,1小时?,914419003042050213?,
3944,17聚财,http://www.17jucai.com,,5000,上海市,上海市,,上海逸淇网络科技有限公司,,问题平台?,否?,否?,上线时间： 2015-05-20 上海市虹口区汶水东路29号榕辉大厦6楼601室 021-55898659?,,,,400-921-9517?,,,,上海市静安区永和路118弄28号?,,2015-12-31?,2016-09-29?,网站打不开?,1小时?,,
3945,盈汇融,http://www.yinghuirong.com,,3000,广东省,佛山市,,佛山市盈汇融电子商务有限公司,,问题平台?,否?,否?,广东省佛山市大沥镇岭南路85号广佛智城4号楼13A层15-16单元 400-839-7768?,,,,,,,,,佛山市南海区桂城街道简平路1号天安南海数码新城4栋707室自编之一?,2015-07-27?,2016-02-20?,网站打不开?,1小时?,91440600337981211D?,
3946,鲁东财富,http://www.ludongcaifu.com,,1000,山东省,滨州市,,鲁东财富咨询有限公司,,问题平台?,否?,否?,山东省滨州市黄河五路渤海十路向东300米路南 400-806-0543?,,,,,,,,,,2015-07-31?,,,1小时?,,
3947,财富联成,http://www.cflch.com/,,3000,山东省,青岛市,,青岛财富联成资产管理有限公司,,警?,否?,否?,2015-04-22 青岛市黄岛区江山南路116号鲁商蓝岸国际三期一号楼二单元702室 400-069-3767?,,,,,,,,,,2014-09-17?,,,1小时?,,
3948,皇家金融,http://www.hjjrd.com,,3000,广东省,深圳市,前海,深圳市前海皇家创新投资管理有限公司,,问题平台?,否?,否?,深圳市罗湖区人民南路2010号深圳发展中心大厦1603室2015-05-01 400-6046-366 完成打不开?,,,,,广东?,深圳?,罗湖区?,深圳市罗湖区人民南路2010号深圳发展中心大厦1603室?,深圳市前海深港合作区前湾一路1号A栋201室（入驻深圳市前海商务秘书有限公司）?,2015-01-06?,,,1小时?,9144030039851289X8?,4403050020060100017000001?
3949,珊湖财富,http://www.shanhu58.com/,,1000,安徽省,合肥市,,安徽珠珊湖投资管理有限公司,,问题平台?,否?,否?,,,,,0556-4183966?,,,,安徽省安庆市太湖县龙山路28号舜华大厦三楼 ?,,2015-05-01?,2015-07-28?,打不开?,1小时?,,
3950,金谷所,http://www.jingusuo.com/,,10000,上海市,上海市,,上海金谷金融服务有限公司,,问题平台?,否?,否?,,,,,,,,,,,2014-12-06?,2015-01-16?,网站打不开?,1小时?,,
3951,钰财通,http://www.cqyucaitong.com,,3000,重庆市,重庆市,,重庆润鑫网络科技有限公司,,正常?,否?,否?,2017-09-11 关于散标暂停发放公告 2016-12-30 朱哥传奇替换为新平台钰财通，因为朱哥传奇不是P2P?,,,,023-68651331?,,,,重庆市九龙坡区石新路176号沛鑫汽配城5栋2-10?,重庆市九龙坡区石新路176号5幢1-5号?,2016-07-07?,,,1小时?,,
3952,富一贷,http://www.fore1.com/,,100,湖北省,武汉市,,武汉富壹贷信息科技有限公司,,问题平台?,否?,否?,有1页只有9条?,,,,,,,,,,2014-07-14?,,网站打不开?,1小时?,,
3953,象蚁财行,http://www.xiangyicaihang.com,,5000,北京市,北京市,,象蚁财行资产管理（北京）有限公司,,警?,否?,否?,2015-9-10替换 财客网?,,,,400-000-1532?,,,,杭州江干区解放东路市民中心B-7?,,,,打不开?,1小时?,,
3954,上致财富,http://www.shangzhicaifu.com/index,,2000,安徽省,合肥市,,安徽曌汇金融信息服务有限公司,,问题平台?,否?,否?,,,,,,,,,,,2015-01-25?,,,1小时?,,
3955,腾远投资,http://www.dgdg888.com/,,1200,安徽省,合肥市,,安徽腾远投资管理有限公司,,问题平台?,否?,否?,原网址：http://www.tengyuan58.com/;http://www.p2peye.com/thread-436923-1-1.html?,,,,,,,,,,2014-11-30?,2015-09-15?,网站打不开?,1小时?,,
3956,钱茂财富,http://www.qianmao58.com/,,1000,安徽省,合肥市,,安徽钱茂投资管理有限公司,,问题平台?,否?,否?,合肥市蜀山区政务区新城邦名苑二期6幢1001室 2015-04-10 400-0564189?,,,,,,,,,,2015-04-12?,,,1小时?,,
3957,恒艳财富,http://www.hengyancf.com,,1500,安徽省,合肥市,,安徽恒艳投资管理有限公司,,警?,否?,否?,,,,,,,,,合肥市蜀山区长江西路478号松芝万象城A栋10层1032?,,2015-04-13?,2015-07-18?,清盘 提现困难?,1小时?,,
3958,富门理财,https://www.fumen.com/,,5000,广东省,深圳市,前海,深圳小强金融服务有限公司,,正常?,否?,否?,,,,,400-079-8888?,广东?,深圳?,宝安区?,深圳市宝安区航城大道光电大厦二层?,深圳市前海深港合作区前湾一路1号A栋201室（入驻深圳市前海商务秘书有限公司）?,2015-04-17?,,,1小时?,91440300319691659R?,4403050020060100017000001?
3959,乐投无忧,http://www.letou51.com/,,1000,广东省,深圳市,前海,深圳市前海乐投无忧金融服务有限公司,,问题平台?,否?,否?,,10%?,,,4008758851?,广东?,深圳?,宝安区?,广东省深圳市宝安区创业一路宏发中心大1715 ?,深圳市前海深港合作区前海一路1号A栋201室(入驻深圳市前海商务秘书有限公司）?,2015-03-10?,2015-07-10?,打不开?,1小时?,91440300326326174M?,4403050020060100017000001?
3960,每利网,http://www.52meiliwang.com/,,1000,上海市,上海市,,上海九楚金融信息服务有限公司,,问题平台?,否?,否?,更改域名201-06-02 原网址“http://www.china-p2p.cn?,,,,,,,,,,2014-12-31?,,,1小时?,,
3961,金融社,https://www.17jrs.com/,,5000,广东省,深圳市,前海,深圳市信德汇众财富管理有限公司,,正常?,否?,否?,,,,,400-827-0017?,广东?,深圳?,南山区?,深圳市南山区海岸大厦东座813室?,深圳市前海深港合作区前湾一路1号A栋201室（入驻深圳市前海商务秘书有限公司）?,2015-06-12?,,,1小时?,91440300326646725W?,4403050020060100017000001?
3962,54贷客,http://www.54daike.com,,1000,上海市,上海市,,上海磁信金融信息服务有限公司,,预警平台?,否?,否?,54贷客平台将于2017年12月20日停止运营访问，平台所有项目已全部结清，请还有账户余额的投资人在12月20日16:00之前申请提现完毕;12月20日之后将停?,,,,400-011-0988?,,,,上海市浦东新区浦电路577号平安财富大厦裙楼508单元?,,2015-06-05?,2017-12-12?,停止运营?,1小时?,,
3963,牛气贷,http://www.niuqidai.com,,5000,上海市,上海市,,上海牛气金融信息服务有限公司,,问题平台?,否?,否?,400-808-5159 上海市长宁区天山路600弄1号楼同达创业大厦31层 2016-09-09网站打不开?,,,,400-808-5159?,,,,上海市长宁区天山路600弄1号楼同达创业大厦30层银诚集团?,,2015-07-10?,2016-09-11?,网站打不开?,1小时?,,
3964,秦商所,http://www.qinshangsuo.com/,,5000,陕西省,西安市,,陕西华大鑫品投资管理有限公司,,转型?,否?,否?,"10%,目前对于VIP客户免费 20170318网站可以打开，但无任何借款项目，关于我们显示秦商所，旨在为客户及合作机构提供专业的财富管理、金融信息咨询、小微?",,,,,,,,,,2015-08-01?,2015-10-14?,转型做财富管理咨询公司?,1小时?,,
3965,云回通宝,https://www.yhtb777.com/,,5700,浙江省,宁波市,,宁波云回投资咨询服务有限公司,,预警平台?,否?,否?,2018-12-29 云回通宝良性退出兑付方案 2018年12月7日 云回通宝平台关闭退出通知 受大环境影响，公司资金链断裂，再加上前阵子部分客户频繁上?,,,,,,,,,,2015-08-25?,,,1小时?,,
3966,乾恒来投资,http://www.gzqhl.com/,,1000,贵州省,遵义市,,贵州乾恒来投资有限公司,,警?,否?,否?,"平台失联 问题发生时间：2015-08-14 失联,疑似跑路?",,,,,,,,,,2015-08-01?,2015-08-14?,平台失联 问题发生时间：2015-08-14 ?,1小时?,,
3967,大禹资本,http://www.dayuziben.com/,,1800,山东省,滨州市,,山东无棣大禹信息服务有限公司,,问题平台?,否?,否?,,,,,,,,,,,2015-04-17?,,,1小时?,,
3968,力高财富,http://www.ligaocf.com/,,10000,浙江省,宁波市,鄞州区,宁波力高财富投资管理有限公司,,问题平台?,否?,否?,,,,,,,,,,宁波市鄞州区贸城西路157号2309室?,2015-08-01?,,,1小时?,913302123168329543?,
3969,玖泽贷,http://www.jiuzecf.com/,,1000,安徽省,合肥市,,安徽玖泽投资管理有限公司,,问题平台?,否?,否?,10%?,,,,,,,,,,2015-07-29?,,,1小时?,,
3970,卓洋易贷,http://www.4001510318.com/,,1000,河北省,衡水市,,衡水卓洋易贷电子商务有限公司,,问题平台?,否?,否?,2015年6月15日冀州市兴华北大街东侧400-151-0318?,,,,,,,,,,2015-07-09?,,,1小时?,,
3971,泰诚金服,http://www.tcjf.com,,20000,浙江省,杭州市,西湖区,杭州泰诚金融信息服务有限公司,,问题平台?,否?,否?,2018-07-17 网站打不开 2015-12-14 普乐信贷替换http://www.pulecredit.com/?,,,,400-711-5555?,,,,杭州剧院路358号宏程国际大厦29楼?,杭州市西湖区天目山路248号华鸿大厦2号楼六层196室?,2016-01-08?,,,1小时?,,
3972,中金在线,http://www.zhongjinzaixian.net/,,2000,湖南省,长沙市,芙蓉区,湖南中金在线互联网投资管理有限公司,,问题平台?,否?,否?,注册不发验证码，采不到记录和作者168@zhongjinzaixian.net?,,,,400-115-6177?,,,,长沙市芙蓉区芙蓉中路二段98号名城国际中心17楼?,长沙市芙蓉区芙蓉中路二段98号明城国际中心1724房?,2015-02-13?,2015-05-18?,网站打不开提现困难?,1小时?,,
3973,鼎裕财富,http://www.dingyucaifu.com,,1300,山东省,济宁市,,山东鼎裕商业运营管理有限公司,,问题平台?,否?,否?,2015-9-10 替换本息宝 原名：鼎裕贷 原网址http://www.dingyudai.com/?,,,,400-823-0071 ?,,,,山东省济宁市兖州区南护城河路188号 ?,,2015-11-11?,,,1小时?,,
3974,亿通贷,http://www.1tongdai.com/,,500,辽宁省,大连市,,大连亿通达信息科技有限公司,,预警平台?,否?,否?,辽宁省大连市中山区鲁迅路74号24层2号 10%?,,,,,,,,,,2015-03-13?,,,1小时?,,
3975,奶牛计划,https://www.nainiujihua.com/,,5000,重庆市,重庆市,,重庆金苹果投资管理有限公司,,正常?,否?,否?,2015-02-03重庆市北部新区青枫北路18号凤凰A座400-1013-008 苹果财富http://www.pgcaifu.com/2016-6-3更名?,,,,,,,,,,2015-11-18?,,,1小时?,,
3976,趣投金融,https://www.quutou.com/projects/,,1430,重庆市,重庆市,,重庆同昭鑫辰信息技术服务有限公司,,转型?,否?,否?,2017-01-06 关于趣投金融业务战略转型公告 2015-02-03 重庆市渝北区洪湖东路11号财富中心E座406 4000-363-023 ?,,,,4000-363-023?,,,,,重庆市渝北区洪湖东路11号3幢406?,2014-12-10?,2017-01-15?,暂停运营 2017-01-15?,1小时?,,
3977,全链在线,http://www.quanlianzx.com,,2000,广东省,深圳市,南山区,深圳市全链控股有限公司,,警?,否?,否?,2015-09-11 锐盈财富 替换厦门软件园望海路61号楼南座7层 2015-02-01?,,,,400-800-4930?,广东?,深圳?,福田区?,深圳市福田区金田路荣超经贸中心2311-2312?,深圳市南山区粤海街道沙河西路大冲商务中心D座1205?,2015-09-11?,2016-04-08?,网站打不开?,1小时?,9144030030596533X7?,4403050070030500002000001?
3978,金金财富,http://www.jinjincaifu.com/,,1000,江苏省,连云港市,,江苏儒金资本管理有限公司,,问题平台?,否?,否?,江苏省连云港市朝阳中路168号祥源国际大厦6楼 5% ?,,,,,,,,,,2015-01-01?,,,1小时?,,
3979,方圆财富,http://fangyuan518.com/,,500,安徽省,合肥市,,安徽金方圆投资管理有限公司,,问题平台?,否?,否?,2015-01-17合肥市瑶海区站前路信地广场5号楼1223室 ?,,,,,,,,,,2015-01-23?,2015-12-07?,网站打不开?,1小时?,,
3980,商鼎贷,http://shenzhen.shangdingdai.com/,,5001,上海市,上海市,,上海涵众金融信息服务有限公司,,问题平台?,否?,否?,上海市·金山区·山阳镇·浦卫公路16393号1幢2楼 ?,,,,,,,,,,2015-04-02?,2016-01-11?,网站打不开?,1小时?,,
3981,蚂蚁白领,https://www.mayi121.com,,3000,北京市,北京市,,蚂蚁白领（北京）投资管理有限公司,,正常?,否?,否?,,免费?,,,400-mayi-121?,,,,北京市东城区朝阳门北大街8号F座602?,,2015-02-14?,,,1小时?,,
3982,牛犇犇,http://www.newbenben.com,,3692.3,浙江省,杭州市,下城区,杭州同方联合互联网金融服务有限公司,,问题平台?,否?,否?,网站打不开?,,,,400-850-2060?,,,,杭州市凤起路334号同方财富大厦3F?,浙江省杭州市下城区凤起路334号301室-1?,2015-03-16?,,,1小时?,,
3983,网交所,http://www.wjschina.com/,,1800,上海市,上海市,,上海直荣金融信息服务有限公司,,问题平台?,否?,否?,,不收取?,,,400-888-0176?,,,,上海市黄浦区蒙自路207号13号楼467室?,,2015-01-01?,,打不开?,1小时?,,
3984,轩驰贷,http://www.xuanchitz.com,,3000,山东省,临沂市,,山东轩驰电子商务有限公司,,问题平台?,否?,否?,,,上线初期活动期间免费?,,,,,,,,2015-08-03?,,,1小时?,,
3985,常盈财富,http://www.changyingcf.com,,800,江苏省,南京市,,苏州常富盈电子商务有限公司,,问题平台?,否?,否?,,8%?,目前免收?,,,,,,,,2015-08-05?,,,1小时?,,
3986,协众金融,http://www.xzjinrong.com,,5000,广东省,广州市,天河区,广州协众金融信息服务有限公司,,正常?,否?,否?,,,,,020-88834699?,,,,广州市天河区黄埔大道西638号1003房?,广州市天河区黄埔大道西638号1003房（仅限办公用途）?,2015-08-03?,,,1小时?,,
3987,顶顶贷,http://www.ddd158.com/,,5000,上海市,上海市,,上海腾顶金融信息服务有限公司,,问题平台?,否?,否?,,,,,,,,,,,2015-08-01?,2016-01-17?,网站打不开?,1小时?,,
3988,新凯无忧,http://www.xk51.com/,,20000,广东省,深圳市,前海,深圳市新凯互联网金融服务有限公司,,问题平台?,否?,否?,深圳市罗湖区笋岗路12号中民时代广场A座6楼 联系电话：0755-32982999?,,,,,广东?,深圳?,罗湖区?,深圳市罗湖区笋岗东路中民时代广场A座6楼?,深圳市前海深港合作区前湾一路1号A栋201室（入驻深圳市前海商务秘书有限公司）?,2015-04-08?,,,1小时?,91440300335140072L?,4403050020060100017000001?
3989,丰嘉信贷,http://www.fengjiaxintou.com/,,1000,山东省,淄博市,,淄博丰嘉电子商务有限公司,,问题平台?,否?,否?,,10%?,,,400-865-0677?,,,,山东省淄博市周村区正阳路财富广场 ?,,2015-08-05?,,,1小时?,,
3990,宝龙财富,http://www.baolonghuicf.com/,,1100,山东省,滨州市,,山东宝龙汇盟投资咨询有限公司,,问题平台?,否?,否?,,10%?,活动期间免费?,,400-0588-874?,,,,山东省滨州市滨城区渤海十七路府前街阳光大厦十一楼?,,2015-08-06?,,,1小时?,,
3991,6金所,http://www.6ljs.com/,,1000,广东省,深圳市,前海,深圳前海点六金融信息服务有限公司,,问题平台?,否?,否?,,,,,400-7970666?,广东?,深圳?,龙岗区?,广东省深圳市龙岗区五和大道台菱大厦6楼?,深圳市前海深港合作区前湾一路1号A栋201室（入驻深圳市前海商务秘书有限公司）?,2015-08-05?,,,1小时?,91440300342832819R?,4403050020060100017000001?
3992,华融创富,http://www.huarongcf.com/,,500,广东省,肇庆市,,肇庆华融创富投资咨询有限公司,,问题平台?,否?,否?,,,,,400-998-3232?,,,,肇庆市封开县江口封州二路山水雅苑商业街2#?,封开县江口镇封州二路（山水雅苑）商业街2#首层32号铺?,2015-07-28?,,,1小时?,91441225324881254J?,
3993,融100,http://www.rong100.com/,,5000,广东省,深圳市,前海,深圳市前海融仟网信息科技有限公司,,问题平台?,否?,否?,,,,,400-9699100?,广东?,深圳?,宝安区?,深圳市宝安中心区宝兴路万骏经贸大厦1616—1619室 ?,深圳市前海深港合作区前湾一路1号A栋201室（入驻深圳市前海商务秘书有限公司）?,2015-08-04?,,,1小时?,91440300305875799B?,4403050020060100017000001?
3994,秦车贷,http://www.qinchedai.cn/,,100,陕西省,西安市,,西安立森投资咨询有限公司,,警?,否?,否?,,,,,029-81028702?,,,,西安市高新区i-都会3号楼1209室?,,2015-08-01?,,,1小时?,,
3995,保利宝,http://www.blbao.com.cn/,,5000,北京市,北京市,,东亿创投（北京）投资管理有限公司,,问题平台?,否?,否?,2015-10-22止?,,,,4008131197?,,,,北京朝阳区朝外大街甲6号万通中心C座1309?,,2015-08-03?,,,1小时?,,
3996,财大户,http://www.caidahu.com,,1000,广东省,广州市,天河区,广州当大信息技术有限公司,,问题平台?,否?,否?,,,,,400-881-7556?,,,,广东省广州市天河区体育东路创展中心西座603?,广州市天河区龙口西路1号1210房?,2015-06-01?,,网站打不开?,1小时?,,
3997,金橙财富,http://www.jinccf.com/,,1200,江苏省,无锡市,,江阴市金聚沙投资管理有限公司,,问题平台?,否?,否?,,,,,400-9288-518?,,,,江苏省江阴市澄江中路118号海澜国贸大厦14楼B座?,,2015-08-10?,,,1小时?,,
3998,一贷添交,https://www.1dtj.com/,,1000,西藏省,拉萨市,,西藏微众金融服务有限公司,,正常?,否?,否?,,,,,400-028-0657?,,,,成都市锦江区二环路东五段华润广场A座503?,,2015-07-31?,,,1小时?,,
3999,禹顺贷,http://www.yushundai.com,,1000,福建省,厦门市,,厦门禹洲启惠金融信息技术服务有限公司,,正常?,否?,否?,,,,,400-880-4343?,,,,厦门市思明区湖滨西路39号华侨海景城新加坡楼6楼?,,2015-07-31?,,,1小时?,,
4000,便捷惠通,http://www.bianjie.com/,,5000,山东省,枣庄市,,山东嘉骏财富投资有限公司,,转型?,否?,否?,尊敬的便捷惠通用户： 根据集团公司的发展规划及业务调整，便捷惠通平台将进行全方位转型升级，并将优化各种业务种类。经集团董事会研究决定，暂停平台运营?,,,,400-6789-907?,,,,山东省枣庄市薛城区新城安侨综合楼A座01号?,,2015-07-26?,2016-11-04?,转型?,1小时?,,
4001,金葫篓,http://www.jinhulou.com/,,1000,山东省,莱芜市,,莱芜市捷运电子商务有限公司,,问题平台?,否?,否?,,,,,400-0634-208?,,,,山东省莱芜市莱城区龙潭东大街、青草河北首凤城总部经济港?,,2015-07-14?,,,1小时?,,
4002,吃理财,https://www.chilicai.com,,1000,上海市,上海市,,众京互联网金融信息服务（上海）有限公司,,问题平台?,否?,否?,,,,,400-0727-198?,,,,上海市黄浦区蒙自路207号宏慧·盟智园8号1楼?,,2015-06-15?,2015-11-16?,网站打不开?,1小时?,,
4003,宏浙投资,http://www.hongzhetouzi.com/,,1000,四川省,成都市,,成都市宏浙投资有限公司,,问题平台?,否?,否?,平台失联 2015-10-20?,,,,400-068-2582?,,,,成都市锦江区时代广场 ?,,2015-07-24?,2015-10-20?,平台失联 2015-10-20?,1小时?,,
4004,好利农,https://www.haolinong.com/,,5000,上海市,上海市,,上海善理金融信息服务有限公司,,问题平台?,否?,否?,,,,,400-800-8981?,,,,上海市浦东新区浦东南路855号世界广场18楼?,,2015-08-01?,2016-01-01?,网站打不开?,1小时?,,
4005,A金融网贷,http://www.51ajinrong.com/,,200,北京市,北京市,,北京磐石鼎慧资本管理有限公司,,问题平台?,否?,否?,2015-07-27止?,,,,400-993-7676?,,,,北京市朝阳区三间房乡西柳村中街(三间房动漫集中办公区751)?,,2014-12-25?,,,1小时?,,
4006,1+1理财网,https://www.yjysh.com/portal/index/,,10000,上海市,上海市,,上海望盛金融信息服务有限公司,,正常?,否?,否?,,,,,4001-000-132?,,,,上海市奉贤区南桥望园南路1588弄绿地未来中心大厦A1-32?,,2014-12-23?,,,1小时?,,
4007,新锐联,http://www.xrchuangtou.com/,,1000,山东省,潍坊市,,潍坊新锐联电子商务有限公司,,问题平台?,否?,否?,,8%?,,,4001026007 ?,,,,潍坊市高新区新北宫东街金马路口新华大厦B座?,,2014-12-22?,,,1小时?,,
4008,向华融,http://www.szxhr88.com/,,1000,广东省,深圳市,龙岗区,深圳市向华融网络服务有限公司,,问题平台?,否?,否?,,10%?,,,4008123953?,广东?,深圳?,龙岗区?,深圳市龙岗区龙城街道吉祥路正中风临国际中心C331-C332?,深圳市龙岗区龙城街道吉祥路正中风临国际中心C331-332号?,2015-08-07?,2015-09-16?,网站打不开?,1小时?,91440300335105330G?,
4009,融卷风,http://www.cnrjf.com/,,2000,广东省,深圳市,龙华区,深圳市中景和金融服务有限公司,,问题平台?,否?,否?,,,,,400-606-8051 ?,广东?,深圳?,龙华区?,深圳市龙华新区新区大道海宁广场8C?,深圳市龙华新区大浪街道海宁广场8c?,2015-08-08?,2015-09-20?,打不开?,1小时?,91440300319566110P?,
4010,航银金融,http://www.hangyinvip.com/,,60000,河南省,郑州市,,河南省航银实业投资有限公司,,问题平台?,否?,否?,,8％?,,,400-996-5906?,,,,河南省州郑东新区东风南路升龙广场一号楼一单元503?,,2015-09-25?,2016-08-10?,失联网站打不开?,1小时?,,
4011,惠农聚宝,https://www.hnjbbank.com/,,9800,北京市,北京市,,北京银信天下网信息科技服务有限公司,,问题平台?,否?,否?,原名爱财狼 https://www.aicailang.com/ 旧网站 https://www.huinongjubao.com?,10%?,现阶段免收利息管理费?,,400-8521-400?,,,,北京市朝阳区朝阳北路237号复星国际中心8层 ?,,2015-08-05?,2019-01-16?,网站打不开，同一法人的银信天下已立案，?,1小时?,,
4012,水浒汇,http://www.shuihuhui.com/invest/list.jsp,,2000,广东省,深圳市,南山区,深圳市水浒财富网络科技有限公司,,问题平台?,否?,否?,,,,,4008-458-468?,广东?,深圳?,南山区?,深圳市南山区科技园科伟路5号东方科技大厦1906?,深圳市南山区粤海街道科技园科伟路5号东方科技大厦1906?,2015-08-07?,2016-01-26?,网站打不开失联?,1小时?,91440300319524199E?,4403050070080600048000001?
4013,甲富乾财富,http://www.jiafuqiancaifu.com/,,5000,山东省,济南市,,山东甲富乾网络科技有限公司,,问题平台?,否?,否?,,,,,400-0906-560 ?,,,,山东省济南市历下区工业南路108号 ?,,2015-07-10?,,,1小时?,,
4014,马尚贷,http://www.518msd.com,,5000,北京市,北京市,,马上袋商务顾问（北京）有限公司,,问题平台?,否?,否?,,,,,010-53341256?,,,,北京市房山区长阳镇绿地天星街14号西楼10层?,,2014-10-20?,,,1小时?,,
4015,领先贷,http://www.lingxd.com/,,5000,上海市,上海市,,上海领路人互联网金融信息服务有限公司,,问题平台?,否?,否?,,,,,4008-622-188?,,,,上海市长宁区通协路268号上海虹桥互联网金融财富天地B303-B305-B306室?,,2015-07-26?,,,1小时?,,
4016,壹佰金融,https://www.pp100.com,,5000,广东省,深圳市,福田区,深圳市壹佰金融服务有限公司,,问题平台?,否?,否?,2015-12-16 原名E理财 中普信富不是P2P，已替换?,,,,400-800-2999?,广东?,深圳?,福田区?,深圳市福田区商报东路英龙商务中心11F?,深圳市福田区莲花街道商报东路英龙商务中心1108?,2015-06-10?,2018-07-17?,非法吸取立案?,1小时?,91440300342517667A?,
4017,茶商易贷,http://www.csydai.com,,3000,福建省,福州市,,武夷山市帝师互联网信息咨询有限公司,,问题平台?,否?,否?,,,,,4000599441?,,,,福建省武夷山市金盘亭（机场对面亿锦花园）D3幢?,,2015-08-12?,,,1小时?,,
4018,芝麻e贷网,http://www.zhimaedai.com,,2000,湖北省,武汉市,,湖北芝麻财富金融服务有限公司,,预警平台?,否?,否?,,,,,4000-199-750?,,,,武汉市江岸区二七路航天双城B座810?,,2014-03-09?,2015-12-03?,400语音提示此号码不提供服务?,1小时?,,
4019,睿鑫资本,http://www.ruixinziben.com/,,2000,山东省,淄博市,,淄博睿鑫投资有限公司,,问题平台?,否?,否?,,,,,400-625-6345?,,,,山东省淄博市博山区颜北路248号?,,2015-08-11?,,,1小时?,,
4020,东祥创投,http://www.dxchuangtou.com/,,3000,山东省,枣庄市,,山东东祥电子商务有限公司,,问题平台?,否?,否?,,,,,0632-3115678?,,,,山东省枣庄市市中文化路街道龙凤社区光明西路12号 ?,,2015-08-09?,,,1小时?,,
4021,浙财金融,https://www.zhecaijinrong.com,,600,浙江省,杭州市,西湖区,杭州浙财互联网金融服务有限公司,,正常?,否?,否?,主体更改“杭州浙财互联网金融服务有限公司” 之前为“杭州浙财民间资本理财服务有限公司” 2017-07-27 原址：https://www.zhecai?,,,,400-0571-777?,,,,浙江省杭州市西湖区曙光路122号世贸大厦C座15F?,杭州市西湖区曙光路122号2幢C1508室?,2015-08-01?,,,1小时?,,
4022,宏伟贷,http://www.hongweidai.com/,,1000,山东省,莱芜市,,莱芜宏伟投资咨询服务有限公司,,问题平台?,否?,否?,,,,,0634-6387999?,,,,山东省莱芜市钢城区艾山街道逯家庄社区?,,2015-08-10?,,,1小时?,,
4023,浩银财富,http://www.haoyincaifu.com/,,1000,山东省,泰安市,,山东省浩银商务信息咨询有限公司,,问题平台?,否?,否?,,6%?,,,400-658-7339?,,,,山东省新泰市青龙路东段北侧荣峰国际酒店5F?,,2014-12-12?,,,1小时?,,
4024,友信网投,http://www.youxinlicai.com,,3000,山东省,潍坊市,,友信网投投资管理有限公司,,问题平台?,否?,否?,,8%?,,,,,,,,,2015-06-29?,,,1小时?,,
